"created_at","full_text","username"
Tue Jun 04 09:42:37 +0000 2024,"ðŸ‡®ðŸ‡©JUNI TIMNAS DAY DI INDOSIAR ðŸ‡®ðŸ‡© Catat dan simpan dulu nih jadwal Timnas Indonesia yang bakal main di bulan Juni. Kawal dan dukung terus Timnas Indonesia karena bakal disiarkan langsung oleh Indosiar dan Vidio. #IndosiarSports #IndosiarRumahSepakbolaIndonesia #TimnasDay https://t.co/jK3q4kkOIt","Indosiar"
Tue Jun 11 13:31:27 +0000 2024,"ð”ð§ð ð ð®ð¥ sementara â³ Komentarmu #GarudaFans? #KitaGaruda #TimnasDay https://t.co/e79qRCgB5y","TimnasIndonesia"
Sun Jun 09 07:41:44 +0000 2024," Sedih Reaksi kiper Filipina Kevin Ray Mendoza ketika tahu tidak ada rekan seklubnya di Persib Bandung yang dipanggil membela Timnas Indonesia. Indonesia dan Filipina akan bermain besok lusa. #TimnasIndonesia #Filipina #WCQ2026 #Liga1 #Persib https://t.co/NWrSJaEER0","GOAL_ID"
Tue Jun 11 06:20:07 +0000 2024,"ï¸ Persiapan terkini dari Bahrain ðŸ‡§ðŸ‡­ #KitaGaruda #GarudaMendunia #PertiwiBerani https://t.co/pkuYlXKro8","TimnasIndonesia"
Tue Apr 16 03:40:00 +0000 2024,"Rangkuman kecurangan Qatar dan wasit Nasrullo Kabirov di pertandingan pembuka AFC Asian Cup U-23: 1. Berdasarkan pernyataan asisten pelatih Jeong Seok-seo dari awal perjalanan ke stadion Timnas Indonesia sudah diputar-putar oleh bus yang dinaiki. 2. Penalti ghoib yang https://t.co/yFmGH7YGZa","utdabout"
Tue Jun 11 14:21:47 +0000 2024,"Great gesture dari pemain Timnas Indonesia dan Filiphina #Timnasday https://t.co/5yYBkHs3oz","Lutfi_nr"
Tue Jun 11 15:49:49 +0000 2024,"Timnas Indonesia menyapa suporter usai menang melawan Filipina di laga pamungkas Grup F Kualifikasi Piala Dunia 2026 Zona Asia Selasa (11/6/2024) malam WIB. Video Jurnalis: Adil Nursalam Video Editor: Muhammad Nauval Pratama Produser: Nibras Nada Nailufar Follow X @KompasBola https://t.co/WdOAR0Dfn0","KompasBola"
Wed Jun 12 02:12:01 +0000 2024,"GAS TERUS PROF! Thom Haye menegaskan tak gentar menghadapi siapapun di babak ketiga kualifikasi di mana #Indonesia bakal bertemu dengan sejumlah tim langganan Piala Dunia! KLIK: https://t.co/6Hwyak3L6l https://t.co/d6kzgPjVls","GOAL_ID"
Fri Apr 26 03:51:11 +0000 2024,"Prestasi luar biasa dari Tim Nasional (Timnas) Sepakbola U-23 Indonesia setelah mengalahkan Korea Selatan di perempat final Piala Asia AFC U-23. Pertama kalinya Indonesia berhasil mencapai babak semifinal di kompetisi ini sangat bersejarah! Selamat kepada timnas Garuda Muda! https://t.co/6px7hQH6p0","jokowi"
Fri May 03 00:38:08 +0000 2024,"Timnas Sepakbola U-23 Indonesia harus rela setelah dikalahkan Irak 1-2 dalam perjuangannya di Piala Asia AFC U-23. Sebagai tim debutan capaian hingga semifinal layak diapresiasi. Tetap semangat Garuda Muda rebutlah tiket Olimpiade Paris 2024 di laga playoff melawan Guinea! https://t.co/Ir8b6IniIR","jokowi"
Tue Jun 11 14:33:32 +0000 2024,"PUAS BANGET TIMNAS INDONESIA MENANG ðŸ‡®ðŸ‡© https://t.co/iUhI2HJUa7","folkshittmedia"
Sat Apr 27 07:15:35 +0000 2024,"Harga pasar satu skuat Timnas Indonesia U-23 apabila digabung masih kalah dengan satu pemain Uzbekistan U-23 Abbosbek Fayzullae https://t.co/j0tuYIU6aI","makanbolaID"
Tue Jun 11 14:11:56 +0000 2024,"Laga pertama Calvin Verdonk bersama timnas Indonesia ðŸ‡®ðŸ‡©. Gimana cuy komentarnya untuk debut Verdonk? Ia sempat mengalami kram. Dan diganti pada menit 66' oleh Pratama Arhan #TimnasDay https://t.co/H8J6CGPVzx","FaktaSepakbola"
Tue Jun 11 11:20:37 +0000 2024,"rekomendasi sepatu dari brand lokal buat nonton timnas indonesia vs filipina malam ini. buat nobar atau nribun ke stadion gbk cakep nih -a thread- https://t.co/cYparSIXQT","cahayasahabat_"
Fri Oct 13 00:34:37 +0000 2023,"ðŸ‡®ðŸ‡© Satu kaki timnas Indonesia sudah berada di putaran selanjutnya Kualifikasi R2 Piala Dunia 2026 setelah kemenangan telak 6-0 atas ðŸ‡§ðŸ‡³Brunei Darussalam pada Leg 1 Kualifikasi R1 (12/10) ï¸ Pada Kualifikasi R2 timnas Indonesia sudah ditunggu ðŸ‡®ðŸ‡¶Irak ðŸ‡»ðŸ‡³Vietnam dan ðŸ‡µðŸ‡­Filipina https://t.co/FUu21NpAJZ","Indostransfer"
Tue Jun 11 03:12:55 +0000 2024," Tebak Skor #TimnasDay Berhadiah 250k untuk 5 orang pemenang ðŸ‡®ðŸ‡©Indonesia Vs Filipina ðŸ‡µðŸ‡­ Contoh: ðŸ‡®ðŸ‡©Indonesia 2 Vs 0 Filipina ðŸ‡µðŸ‡­ #TimnasDay Syarat: -RT dan like Tweet ini -Follow @mypediasure (FT. 90m) - ditutup saat kick-off https://t.co/fEDN9Uvk1s https://t.co/QNc6D4reIq","mypediasure"
Wed Jun 12 02:05:42 +0000 2024,"Ternyata Benar Apa Kata Legenda Australia Ini Dulu Timnas Indonesia Hanya Jadi Bulan-bulanan Negara Asia Sekarang...: Omongan dari legenda Australia tentang Timnas Indonesia beberapa waktu lalu tampaknya terbukti benar. Kini skuad Garuda berpeluang https://t.co/JBBQbbydtg https://t.co/nlMiS4aVmy","tvOneNews"
Tue May 09 13:15:00 +0000 2023,"Konser Coldplay: 15 November FIFA Matchday: 13-21 November Timnas #Indonesia harus mencari stadion alternatif jika ingin menggelar laga kandang internasional pada November mendatang https://t.co/K5NbfXGd8p","GOAL_ID"
Tue Jun 11 14:35:01 +0000 2024,"Terima kasih Timnas Indonesia malam ini kalian bikin bangga kami. Lolos ke R3 QWC 2026 Lolos ke Asian Cup 2027 Satu kata untuk Timnas Indonesia malam ini? ðŸ‡®ðŸ‡©ï¸ https://t.co/Mly4TfdSis","garagarabola_"
Mon Oct 09 14:06:14 +0000 2023,"STY KESAL! Shin Tae-yong menumpahkan rasa kesalnya pada latihan perdana timnas Indonesia jelang melawan Brunei Darussalam. Ia marah karena ada sejumlah pemain yang telat datang ke agenda tersebut! Karena ada beberapa pemain yang terlambat datang ke TC [pemusatan latihan] https://t.co/sawyAui34n","GOAL_ID"
Mon Jun 03 12:02:01 +0000 2024,"Pesan dari ð—˜ð—¿ð—¶ð—°ð—¸ ð—§ð—µð—¼ð—µð—¶ð—¿ ðŸ‡®ðŸ‡© Merespon pertanyaan soal Elkan Baggott Ketum PSSI mengharapkan seluruh pemain serius saat dipanggil Timnas Indonesia #TimnasIndonesia #ElkanBaggott #ErickThohir #detiksport https://t.co/6X8fvhty8D","detiksport"
Wed Jun 12 02:12:16 +0000 2024,"Timnas Indonesia Lolos Putaran 3 Kualifikasi Piala Dunia 2026 STY: Kami Cetak Sejarah! | #TimnasIndonesia https://t.co/XLEAZlXmny","kompascom"
